[2025-10-21T11:22:09.242+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-21T11:22:09.262+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-21T11:15:00+00:00 [queued]>
[2025-10-21T11:22:09.267+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-21T11:15:00+00:00 [queued]>
[2025-10-21T11:22:09.268+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-21T11:22:09.276+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-21 11:15:00+00:00
[2025-10-21T11:22:09.283+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=63709) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-21T11:22:09.281+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-21T11:15:00+00:00', '--job-id', '96', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpp56ka8eg']
[2025-10-21T11:22:09.284+0000] {standard_task_runner.py:91} INFO - Job 96: Subtask download_minio
[2025-10-21T11:22:09.284+0000] {standard_task_runner.py:64} INFO - Started process 63719 to run task
[2025-10-21T11:22:09.320+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-21T11:15:00+00:00 [running]> on host 247b7821f06b
[2025-10-21T11:22:09.383+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='jupudimanoj74@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-21T11:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-21T11:15:00+00:00'
[2025-10-21T11:22:09.383+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-21T11:22:09.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974267.json -> /tmp/minio_downloads/1760974267.json
[2025-10-21T11:22:09.684+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974274.json -> /tmp/minio_downloads/1760974274.json
[2025-10-21T11:22:09.688+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974282.json -> /tmp/minio_downloads/1760974282.json
[2025-10-21T11:22:09.691+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974289.json -> /tmp/minio_downloads/1760974289.json
[2025-10-21T11:22:09.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974296.json -> /tmp/minio_downloads/1760974296.json
[2025-10-21T11:22:09.699+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974303.json -> /tmp/minio_downloads/1760974303.json
[2025-10-21T11:22:09.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974311.json -> /tmp/minio_downloads/1760974311.json
[2025-10-21T11:22:09.707+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974318.json -> /tmp/minio_downloads/1760974318.json
[2025-10-21T11:22:09.711+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974325.json -> /tmp/minio_downloads/1760974325.json
[2025-10-21T11:22:09.715+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976264.json -> /tmp/minio_downloads/1760976264.json
[2025-10-21T11:22:09.719+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976271.json -> /tmp/minio_downloads/1760976271.json
[2025-10-21T11:22:09.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976279.json -> /tmp/minio_downloads/1760976279.json
[2025-10-21T11:22:09.727+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976286.json -> /tmp/minio_downloads/1760976286.json
[2025-10-21T11:22:09.731+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976293.json -> /tmp/minio_downloads/1760976293.json
[2025-10-21T11:22:09.735+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976300.json -> /tmp/minio_downloads/1760976300.json
[2025-10-21T11:22:09.739+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976308.json -> /tmp/minio_downloads/1760976308.json
[2025-10-21T11:22:09.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976315.json -> /tmp/minio_downloads/1760976315.json
[2025-10-21T11:22:09.747+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976322.json -> /tmp/minio_downloads/1760976322.json
[2025-10-21T11:22:09.750+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976329.json -> /tmp/minio_downloads/1760976329.json
[2025-10-21T11:22:09.754+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976336.json -> /tmp/minio_downloads/1760976336.json
[2025-10-21T11:22:09.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976343.json -> /tmp/minio_downloads/1760976343.json
[2025-10-21T11:22:09.762+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976351.json -> /tmp/minio_downloads/1760976351.json
[2025-10-21T11:22:09.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976358.json -> /tmp/minio_downloads/1760976358.json
[2025-10-21T11:22:09.769+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976365.json -> /tmp/minio_downloads/1760976365.json
[2025-10-21T11:22:09.773+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976372.json -> /tmp/minio_downloads/1760976372.json
[2025-10-21T11:22:09.777+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976379.json -> /tmp/minio_downloads/1760976379.json
[2025-10-21T11:22:09.780+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976386.json -> /tmp/minio_downloads/1760976386.json
[2025-10-21T11:22:09.784+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976393.json -> /tmp/minio_downloads/1760976393.json
[2025-10-21T11:22:09.788+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976401.json -> /tmp/minio_downloads/1760976401.json
[2025-10-21T11:22:09.792+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976408.json -> /tmp/minio_downloads/1760976408.json
