[2025-10-22T12:02:12.931+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-22T12:02:12.954+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-22T11:55:00+00:00 [queued]>
[2025-10-22T12:02:12.959+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-22T11:55:00+00:00 [queued]>
[2025-10-22T12:02:12.960+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-22T12:02:12.969+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-22 11:55:00+00:00
[2025-10-22T12:02:12.975+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-22T11:55:00+00:00', '--job-id', '181', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp5iexp8d6']
[2025-10-22T12:02:12.978+0000] {standard_task_runner.py:91} INFO - Job 181: Subtask download_minio
[2025-10-22T12:02:12.978+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=31470) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-22T12:02:12.980+0000] {standard_task_runner.py:64} INFO - Started process 31480 to run task
[2025-10-22T12:02:13.021+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-22T11:55:00+00:00 [running]> on host 247b7821f06b
[2025-10-22T12:02:13.089+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='jupudimanoj74@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-22T11:55:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-22T11:55:00+00:00'
[2025-10-22T12:02:13.090+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-22T12:02:13.421+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974267.json -> /tmp/minio_downloads/1760974267.json
[2025-10-22T12:02:13.427+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974274.json -> /tmp/minio_downloads/1760974274.json
[2025-10-22T12:02:13.433+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974282.json -> /tmp/minio_downloads/1760974282.json
[2025-10-22T12:02:13.438+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974289.json -> /tmp/minio_downloads/1760974289.json
[2025-10-22T12:02:13.442+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974296.json -> /tmp/minio_downloads/1760974296.json
[2025-10-22T12:02:13.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974303.json -> /tmp/minio_downloads/1760974303.json
[2025-10-22T12:02:13.452+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974311.json -> /tmp/minio_downloads/1760974311.json
[2025-10-22T12:02:13.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974318.json -> /tmp/minio_downloads/1760974318.json
[2025-10-22T12:02:13.460+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760974325.json -> /tmp/minio_downloads/1760974325.json
[2025-10-22T12:02:13.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976264.json -> /tmp/minio_downloads/1760976264.json
[2025-10-22T12:02:13.473+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976271.json -> /tmp/minio_downloads/1760976271.json
[2025-10-22T12:02:13.480+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976279.json -> /tmp/minio_downloads/1760976279.json
[2025-10-22T12:02:13.486+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976286.json -> /tmp/minio_downloads/1760976286.json
[2025-10-22T12:02:13.491+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976293.json -> /tmp/minio_downloads/1760976293.json
[2025-10-22T12:02:13.496+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976300.json -> /tmp/minio_downloads/1760976300.json
[2025-10-22T12:02:13.501+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976308.json -> /tmp/minio_downloads/1760976308.json
[2025-10-22T12:02:13.506+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976315.json -> /tmp/minio_downloads/1760976315.json
[2025-10-22T12:02:13.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976322.json -> /tmp/minio_downloads/1760976322.json
[2025-10-22T12:02:13.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976329.json -> /tmp/minio_downloads/1760976329.json
[2025-10-22T12:02:13.520+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976336.json -> /tmp/minio_downloads/1760976336.json
[2025-10-22T12:02:13.525+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976343.json -> /tmp/minio_downloads/1760976343.json
[2025-10-22T12:02:13.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976351.json -> /tmp/minio_downloads/1760976351.json
[2025-10-22T12:02:13.536+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976358.json -> /tmp/minio_downloads/1760976358.json
[2025-10-22T12:02:13.541+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976365.json -> /tmp/minio_downloads/1760976365.json
[2025-10-22T12:02:13.546+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976372.json -> /tmp/minio_downloads/1760976372.json
[2025-10-22T12:02:13.551+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976379.json -> /tmp/minio_downloads/1760976379.json
[2025-10-22T12:02:13.555+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976386.json -> /tmp/minio_downloads/1760976386.json
[2025-10-22T12:02:13.559+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976393.json -> /tmp/minio_downloads/1760976393.json
[2025-10-22T12:02:13.563+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976401.json -> /tmp/minio_downloads/1760976401.json
[2025-10-22T12:02:13.568+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976408.json -> /tmp/minio_downloads/1760976408.json
[2025-10-22T12:02:13.573+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976415.json -> /tmp/minio_downloads/1760976415.json
[2025-10-22T12:02:13.577+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976422.json -> /tmp/minio_downloads/1760976422.json
[2025-10-22T12:02:13.581+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976429.json -> /tmp/minio_downloads/1760976429.json
[2025-10-22T12:02:13.586+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976436.json -> /tmp/minio_downloads/1760976436.json
[2025-10-22T12:02:13.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976444.json -> /tmp/minio_downloads/1760976444.json
[2025-10-22T12:02:13.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976451.json -> /tmp/minio_downloads/1760976451.json
[2025-10-22T12:02:13.598+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976458.json -> /tmp/minio_downloads/1760976458.json
[2025-10-22T12:02:13.602+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976465.json -> /tmp/minio_downloads/1760976465.json
[2025-10-22T12:02:13.606+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976472.json -> /tmp/minio_downloads/1760976472.json
[2025-10-22T12:02:13.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976480.json -> /tmp/minio_downloads/1760976480.json
[2025-10-22T12:02:13.614+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976487.json -> /tmp/minio_downloads/1760976487.json
[2025-10-22T12:02:13.618+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976494.json -> /tmp/minio_downloads/1760976494.json
[2025-10-22T12:02:13.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976501.json -> /tmp/minio_downloads/1760976501.json
[2025-10-22T12:02:13.630+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976508.json -> /tmp/minio_downloads/1760976508.json
[2025-10-22T12:02:13.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976516.json -> /tmp/minio_downloads/1760976516.json
[2025-10-22T12:02:13.639+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976523.json -> /tmp/minio_downloads/1760976523.json
[2025-10-22T12:02:13.644+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760976530.json -> /tmp/minio_downloads/1760976530.json
